point,x,y,beacon,rssi,rx_time_ns
S0,280,1450,Beacon 8,-50,1523271446481931
S0,280,1450,Beacon 2,-82,1523271448174257
S0,280,1450,Beacon 6,-51,1523271462037931
S0,280,1450,Beacon 1,-86,1523271464832162
S0,280,1450,Beacon 3,-83,1523271487169752
S0,280,1450,Beacon 7,-30,1523271489473624
S0,280,1450,Beacon 4,-76,1523271492422316
S0,280,1450,Beacon 5,-77,1523271506234854
S0,280,1450,Beacon 7,-29,1523271595298008
S0,280,1450,Beacon 8,-62,1523271657738624
S0,280,1450,Beacon 7,-30,1523271696416085
S0,280,1450,Beacon 4,-75,1523271701557701
S0,280,1450,Beacon 5,-68,1523271721342854
S0,280,1450,Beacon 6,-59,1523271775128777
S0,280,1450,Beacon 7,-28,1523271799989316
S0,280,1450,Beacon 8,-55,1523271865331854
S0,280,1450,Beacon 6,-52,1523271875321008
S0,280,1450,Beacon 5,-62,1523271932065931
S0,280,1450,Beacon 8,-55,1523271971023162
S0,280,1450,Beacon 6,-53,1523271975835239
S0,280,1450,Beacon 7,-39,1523272010049701
S0,280,1450,Beacon 5,-66,1523272039127162
S0,280,1450,Beacon 2,-78,1523272074450334
S0,280,1450,Beacon 8,-59,1523272079944777
S0,280,1450,Beacon 6,-51,1523272084108777
S0,280,1450,Beacon 7,-37,1523272117414239
S0,280,1450,Beacon 4,-77,1523272121520777
S0,280,1450,Beacon 5,-62,1523272141438854
S0,280,1450,Beacon 2,-79,1523272177685411
S0,280,1450,Beacon 7,-32,1523272220205316
S0,280,1450,Beacon 4,-80,1523272228235239
S0,280,1450,Beacon 5,-58,1523272242929931
S0,280,1450,Beacon 2,-85,1523272280805026
S0,280,1450,Beacon 8,-51,1523272284458931
S0,280,1450,Beacon 7,-42,1523272324263854
S0,280,1450,Beacon 4,-71,1523272336136162
S0,280,1450,Beacon 5,-62,1523272344837393
S0,280,1450,Beacon 2,-85,1523272390270950
S0,280,1450,Beacon 4,-73,1523272441773393
S0,280,1450,Beacon 8,-54,1523272495046931
S0,280,1450,Beacon 6,-66,1523272504379470
S0,280,1450,Beacon 1,-86,1523272526333085
S0,280,1450,Beacon 7,-47,1523272532369931
S0,280,1450,Beacon 4,-79,1523272539356470
S0,280,1450,Beacon 5,-59,1523272559591547
S0,280,1450,Beacon 8,-56,1523272596823239
S0,280,1450,Beacon 2,-79,1523272597209642
S0,280,1450,Beacon 6,-62,1523272604812778
S0,280,1450,Beacon 7,-40,1523272638899162
S0,280,1450,Beacon 5,-68,1523272665582624
S0,280,1450,Beacon 6,-51,1523272712744778
S0,280,1450,Beacon 7,-42,1523272738978316
S0,280,1450,Beacon 4,-85,1523272744214931
S0,280,1450,Beacon 5,-62,1523272769333624
S0,280,1450,Beacon 2,-83,1523272799949103
S0,280,1450,Beacon 8,-53,1523272805094624
S0,280,1450,Beacon 6,-65,1523272814229624
S0,280,1450,Beacon 7,-35,1523272842938854
S0,280,1450,Beacon 5,-65,1523272879964162
S0,280,1450,Beacon 8,-53,1523272907378008
S0,280,1450,Beacon 6,-54,1523272920930931
S0,280,1450,Beacon 7,-38,1523272950868085
S0,280,1450,Beacon 5,-73,1523272984409624
S0,280,1450,Beacon 2,-82,1523273009046565
S0,280,1450,Beacon 8,-58,1523273011817085
S0,280,1450,Beacon 7,-45,1523273055650239
S0,280,1450,Beacon 5,-73,1523273097472778
S0,280,1450,Beacon 8,-55,1523273121988778
S0,280,1450,Beacon 6,-51,1523273137305008
S0,280,1450,Beacon 4,-72,1523273162070624
S0,280,1450,Beacon 5,-62,1523273194535239
S0,280,1450,Beacon 7,-53,1523273263908701
S0,280,1450,Beacon 4,-80,1523273268098854
S0,280,1450,Beacon 5,-64,1523273300707547
S0,280,1450,Beacon 8,-58,1523273322263547
S0,280,1450,Beacon 6,-61,1523273342767470
S0,280,1450,Beacon 1,-84,1523273348512393
S0,280,1450,Beacon 7,-40,1523273366891778
S0,280,1450,Beacon 5,-63,1523273396784393
S0,280,1450,Beacon 8,-53,1523273422477008
S0,280,1450,Beacon 6,-52,1523273447167547
S0,280,1450,Beacon 7,-36,1523273470502316
S0,280,1450,Beacon 5,-69,1523273500888470
S0,280,1450,Beacon 2,-80,1523273532086873
S0,280,1450,Beacon 6,-45,1523273552590316
S0,280,1450,Beacon 4,-86,1523273586810008
S0,280,1450,Beacon 5,-70,1523273608183162
S0,280,1450,Beacon 8,-54,1523273632081008
S0,280,1450,Beacon 6,-48,1523273653321085
S0,280,1450,Beacon 1,-86,1523273658396162
S0,280,1450,Beacon 7,-38,1523273673266008
S0,280,1450,Beacon 4,-76,1523273691156393
S0,280,1450,Beacon 5,-66,1523273717605393
S0,280,1450,Beacon 2,-84,1523273735265334
S0,280,1450,Beacon 6,-46,1523273762099855
S0,280,1450,Beacon 7,-49,1523273781487239
S0,280,1450,Beacon 5,-63,1523273826015470
S0,280,1450,Beacon 6,-49,1523273867442239
S0,280,1450,Beacon 1,-75,1523273870129008
S0,280,1450,Beacon 7,-50,1523273890667547
S0,280,1450,Beacon 4,-74,1523273899449393
S0,280,1450,Beacon 5,-75,1523273933574855
S0,280,1450,Beacon 6,-48,1523273972642547
S0,280,1450,Beacon 5,-68,1523274036442855
S0,280,1450,Beacon 8,-69,1523274050608085
S0,280,1450,Beacon 6,-55,1523274079662547
S0,280,1450,Beacon 7,-45,1523274099120393
S0,280,1450,Beacon 4,-79,1523274108023778
