point,x,y,beacon,rssi,rx_time_ns
S0,130,1080,Beacon 4,-76,1523353242586859
S0,130,1080,Beacon 6,-69,1523353251704705
S0,130,1080,Beacon 2,-79,1523353274664819
S0,130,1080,Beacon 5,-49,1523353277748705
S0,130,1080,Beacon 7,-61,1523353290347167
S0,130,1080,Beacon 3,-83,1523353302375128
S0,130,1080,Beacon 8,-59,1523353307244475
S0,130,1080,Beacon 1,-86,1523353331302859
S0,130,1080,Beacon 4,-75,1523353344298936
S0,130,1080,Beacon 6,-55,1523353360794936
S0,130,1080,Beacon 5,-46,1523353384710552
S0,130,1080,Beacon 7,-59,1523353390943167
S0,130,1080,Beacon 3,-85,1523353404529512
S0,130,1080,Beacon 8,-62,1523353412067552
S0,130,1080,Beacon 5,-46,1523353494549936
S0,130,1080,Beacon 7,-60,1523353500793090
S0,130,1080,Beacon 3,-85,1523353512277589
S0,130,1080,Beacon 8,-64,1523353517229936
S0,130,1080,Beacon 5,-50,1523353596511475
S0,130,1080,Beacon 7,-51,1523353606773090
S0,130,1080,Beacon 8,-59,1523353622598321
S0,130,1080,Beacon 5,-52,1523353697218859
S0,130,1080,Beacon 7,-57,1523353711191475
S0,130,1080,Beacon 8,-60,1523353721923167
S0,130,1080,Beacon 3,-83,1523353728139051
S0,130,1080,Beacon 1,-86,1523353750664705
S0,130,1080,Beacon 6,-59,1523353790599167
S0,130,1080,Beacon 5,-53,1523353801634321
S0,130,1080,Beacon 7,-58,1523353818139552
S0,130,1080,Beacon 6,-63,1523353891659167
S0,130,1080,Beacon 7,-59,1523353923450013
S0,130,1080,Beacon 8,-77,1523353934316475
S0,130,1080,Beacon 3,-80,1523353934915743
S0,130,1080,Beacon 6,-61,1523353996901013
S0,130,1080,Beacon 5,-50,1523354008355552
S0,130,1080,Beacon 7,-54,1523354027079244
S0,130,1080,Beacon 6,-58,1523354098994629
S0,130,1080,Beacon 2,-82,1523354112175204
S0,130,1080,Beacon 5,-50,1523354118230936
S0,130,1080,Beacon 8,-69,1523354144978552
S0,130,1080,Beacon 1,-82,1523354173581936
S0,130,1080,Beacon 6,-58,1523354204716090
S0,130,1080,Beacon 5,-51,1523354220777321
S0,130,1080,Beacon 2,-78,1523354223622358
S0,130,1080,Beacon 7,-59,1523354230201398
S0,130,1080,Beacon 8,-60,1523354249905629
S0,130,1080,Beacon 4,-79,1523354285361090
S0,130,1080,Beacon 5,-48,1523354325640705
S0,130,1080,Beacon 3,-84,1523354355070743
S0,130,1080,Beacon 8,-62,1523354357351475
S0,130,1080,Beacon 1,-85,1523354380760705
S0,130,1080,Beacon 4,-76,1523354383496705
S0,130,1080,Beacon 6,-57,1523354412178629
S0,130,1080,Beacon 5,-49,1523354432016475
S0,130,1080,Beacon 7,-52,1523354435537705
S0,130,1080,Beacon 8,-55,1523354458570629
S0,130,1080,Beacon 1,-75,1523354481662552
S0,130,1080,Beacon 4,-67,1523354488592782
S0,130,1080,Beacon 6,-63,1523354513625321
S0,130,1080,Beacon 5,-52,1523354542668705
S0,130,1080,Beacon 7,-50,1523354546614629
S0,130,1080,Beacon 8,-64,1523354566009398
S0,130,1080,Beacon 6,-61,1523354619585936
S0,130,1080,Beacon 2,-83,1523354640849358
S0,130,1080,Beacon 5,-51,1523354644617013
S0,130,1080,Beacon 7,-52,1523354655701321
S0,130,1080,Beacon 8,-63,1523354667453013
S0,130,1080,Beacon 3,-81,1523354673654128
S0,130,1080,Beacon 1,-83,1523354687536782
S0,130,1080,Beacon 4,-69,1523354702876705
S0,130,1080,Beacon 6,-62,1523354721399552
S0,130,1080,Beacon 5,-55,1523354748358244
S0,130,1080,Beacon 7,-53,1523354766406629
S0,130,1080,Beacon 4,-69,1523354806958552
S0,130,1080,Beacon 5,-53,1523354853662013
S0,130,1080,Beacon 2,-80,1523354855432435
S0,130,1080,Beacon 8,-59,1523354871482629
S0,130,1080,Beacon 7,-48,1523354877822244
S0,130,1080,Beacon 6,-53,1523354926590936
S0,130,1080,Beacon 5,-53,1523354965592167
S0,130,1080,Beacon 7,-72,1523354981771167
S0,130,1080,Beacon 4,-70,1523355012473705
S0,130,1080,Beacon 6,-56,1523355032383782
S0,130,1080,Beacon 5,-65,1523355070163167
S0,130,1080,Beacon 2,-80,1523355070538050
S0,130,1080,Beacon 8,-66,1523355082489629
S0,130,1080,Beacon 3,-83,1523355103366743
S0,130,1080,Beacon 1,-79,1523355117228398
S0,130,1080,Beacon 6,-53,1523355138070244
S0,130,1080,Beacon 5,-56,1523355175786013
S0,130,1080,Beacon 7,-60,1523355192803552
S0,130,1080,Beacon 6,-72,1523355243905090
S0,130,1080,Beacon 2,-76,1523355275474665
S0,130,1080,Beacon 5,-52,1523355282379552
S0,130,1080,Beacon 8,-56,1523355293385706
S0,130,1080,Beacon 7,-59,1523355297554629
S0,130,1080,Beacon 4,-62,1523355323671475
S0,130,1080,Beacon 1,-86,1523355326771167
S0,130,1080,Beacon 6,-52,1523355354699859
S0,130,1080,Beacon 2,-86,1523355385114281
S0,130,1080,Beacon 5,-53,1523355389198244
S0,130,1080,Beacon 8,-59,1523355393537706
S0,130,1080,Beacon 7,-53,1523355402293936
S0,130,1080,Beacon 4,-73,1523355429430859
S0,130,1080,Beacon 6,-58,1523355454917090
S0,130,1080,Beacon 5,-58,1523355491171859
S0,130,1080,Beacon 8,-62,1523355503604090
S0,130,1080,Beacon 7,-56,1523355509047475
S0,130,1080,Beacon 4,-73,1523355527281398
S0,130,1080,Beacon 6,-66,1523355565084475
S0,130,1080,Beacon 5,-59,1523355593769398
S0,130,1080,Beacon 8,-57,1523355605920706
S0,130,1080,Beacon 7,-53,1523355618280090
S0,130,1080,Beacon 4,-74,1523355633065706
S0,130,1080,Beacon 1,-80,1523355645732475
S0,130,1080,Beacon 6,-49,1523355670240398
S0,130,1080,Beacon 5,-50,1523355695681398
S0,130,1080,Beacon 8,-71,1523355706018859
S0,130,1080,Beacon 7,-57,1523355719088398
S0,130,1080,Beacon 4,-77,1523355737940475
S0,130,1080,Beacon 1,-84,1523355750810552
S0,130,1080,Beacon 6,-61,1523355779345398
S0,130,1080,Beacon 5,-53,1523355803972706
S0,130,1080,Beacon 8,-56,1523355815379782
S0,130,1080,Beacon 7,-60,1523355829916475
