point,x,y,beacon,rssi,rx_time_ns
S0,1075,420,Beacon 7,-78,1523405874972709
S0,1075,420,Beacon 4,-71,1523405884328170
S0,1075,420,Beacon 1,-71,1523405935026862
S0,1075,420,Beacon 6,-49,1523405937059555
S0,1075,420,Beacon 8,-62,1523405946885632
S0,1075,420,Beacon 7,-69,1523405983723247
S0,1075,420,Beacon 4,-72,1523405987924709
S0,1075,420,Beacon 2,-75,1523406038929467
S0,1075,420,Beacon 6,-49,1523406043872478
S0,1075,420,Beacon 7,-79,1523406084071555
S0,1075,420,Beacon 4,-71,1523406093785632
S0,1075,420,Beacon 3,-55,1523406112810739
S0,1075,420,Beacon 1,-74,1523406139558862
S0,1075,420,Beacon 2,-65,1523406140347083
S0,1075,420,Beacon 6,-50,1523406150384785
S0,1075,420,Beacon 8,-62,1523406156819170
S0,1075,420,Beacon 7,-81,1523406194212093
S0,1075,420,Beacon 4,-73,1523406204503785
S0,1075,420,Beacon 5,-76,1523406223113939
S0,1075,420,Beacon 2,-78,1523406245341775
S0,1075,420,Beacon 6,-51,1523406262072170
S0,1075,420,Beacon 4,-75,1523406307934324
S0,1075,420,Beacon 5,-78,1523406328926555
S0,1075,420,Beacon 1,-74,1523406355018324
S0,1075,420,Beacon 8,-68,1523406364257709
S0,1075,420,Beacon 6,-54,1523406368597324
S0,1075,420,Beacon 7,-81,1523406393658862
S0,1075,420,Beacon 4,-71,1523406413533324
S0,1075,420,Beacon 3,-62,1523406424529200
S0,1075,420,Beacon 5,-86,1523406432836401
S0,1075,420,Beacon 1,-74,1523406462198939
S0,1075,420,Beacon 8,-66,1523406467274939
S0,1075,420,Beacon 7,-66,1523406494772785
S0,1075,420,Beacon 5,-77,1523406534298862
S0,1075,420,Beacon 2,-70,1523406559380313
S0,1075,420,Beacon 1,-77,1523406566343555
S0,1075,420,Beacon 6,-61,1523406576437401
S0,1075,420,Beacon 7,-78,1523406595678555
S0,1075,420,Beacon 4,-69,1523406618245093
S0,1075,420,Beacon 5,-80,1523406640862016
S0,1075,420,Beacon 3,-73,1523406640965277
S0,1075,420,Beacon 2,-63,1523406671973544
