point,x,y,beacon,rssi,rx_time_ns
baño_0,640,880,Beacon 1,-69,7945199666723
baño_0,640,880,Beacon 8,-48,7945222206775
baño_0,640,880,Beacon 4,-57,7945240551463
baño_0,640,880,Beacon 5,-73,7945243545004
baño_0,640,880,Beacon 2,-77,7945270374080
baño_0,640,880,Beacon 7,-61,7945291633129
baño_0,640,880,Beacon 3,-75,7945302698365
baño_0,640,880,Beacon 1,-69,7945314884015
baño_0,640,880,Beacon 6,-50,7945320541879
baño_0,640,880,Beacon 8,-48,7945321609223
baño_0,640,880,Beacon 4,-57,7945337091358
baño_0,640,880,Beacon 5,-74,7945351164067
baño_0,640,880,Beacon 2,-76,7945371717465
baño_0,640,880,Beacon 7,-61,7945398965785
baño_0,640,880,Beacon 3,-76,7945406637167
baño_0,640,880,Beacon 1,-68,7945410002296
baño_0,640,880,Beacon 8,-48,7945428353233
baño_0,640,880,Beacon 6,-50,7945431479952
baño_0,640,880,Beacon 4,-56,7945447164900
baño_0,640,880,Beacon 5,-74,7945454827556
baño_0,640,880,Beacon 7,-60,7945508092452
baño_0,640,880,Beacon 3,-76,7945514348625
baño_0,640,880,Beacon 1,-68,7945515296150
baño_0,640,880,Beacon 6,-50,7945533390160
baño_0,640,880,Beacon 8,-48,7945536220421
baño_0,640,880,Beacon 4,-56,7945546790421
baño_0,640,880,Beacon 5,-74,7945555412452
baño_0,640,880,Beacon 7,-60,7945611180265
baño_0,640,880,Beacon 1,-69,7945612580369
baño_0,640,880,Beacon 6,-49,7945638923806
baño_0,640,880,Beacon 8,-48,7945639933442
baño_0,640,880,Beacon 4,-56,7945656429119
baño_0,640,880,Beacon 7,-60,7945711929014
baño_0,640,880,Beacon 6,-49,7945745688025
baño_0,640,880,Beacon 8,-48,7945747567973
baño_0,640,880,Beacon 4,-56,7945760867400
baño_0,640,880,Beacon 2,-77,7945798297361
baño_0,640,880,Beacon 7,-60,7945817315577
baño_0,640,880,Beacon 1,-69,7945822789796
baño_0,640,880,Beacon 3,-73,7945837328104
baño_0,640,880,Beacon 8,-48,7945852282244
baño_0,640,880,Beacon 6,-49,7945855167400
baño_0,640,880,Beacon 5,-76,7945869268233
baño_0,640,880,Beacon 2,-77,7945899417361
baño_0,640,880,Beacon 7,-60,7945918191671
baño_0,640,880,Beacon 1,-69,7945927154952
baño_0,640,880,Beacon 6,-49,7945950162973
baño_0,640,880,Beacon 8,-48,7945952602296
