point,x,y,beacon,rssi,rx_time_ns
"F(0, 0)",80,50,Beacon 6,-46,570610924504984
"F(0, 0)",80,50,Beacon 7,-58,570610966933215
"F(0, 0)",80,50,Beacon 8,-37,570611023530522
"F(0, 0)",80,50,Beacon 6,-49,570611024865292
"F(0, 0)",80,50,Beacon 1,-56,570611036545215
"F(0, 0)",80,50,Beacon 7,-52,570611073000599
"F(0, 0)",80,50,Beacon 1,-56,570611148543061
"F(0, 0)",80,50,Beacon 7,-62,570611175905522
"F(0, 0)",80,50,Beacon 8,-37,570611235583138
"F(0, 0)",80,50,Beacon 6,-50,570611238942215
"F(0, 0)",80,50,Beacon 7,-52,570611286976676
"F(0, 0)",80,50,Beacon 6,-45,570611343705522
"F(0, 0)",80,50,Beacon 8,-36,570611346181599
"F(0, 0)",80,50,Beacon 1,-56,570611354951445
"F(0, 0)",80,50,Beacon 7,-62,570611388475138
"F(0, 0)",80,50,Beacon 2,-65,570611416899984
"F(0, 0)",80,50,Beacon 6,-59,570611449256907
"F(0, 0)",80,50,Beacon 1,-57,570611455635061
"F(0, 0)",80,50,Beacon 7,-52,570611492915138
"F(0, 0)",80,50,Beacon 1,-56,570611562787061
"F(0, 0)",80,50,Beacon 7,-62,570611598851061
"F(0, 0)",80,50,Beacon 8,-39,570611653911753
"F(0, 0)",80,50,Beacon 6,-59,570611656311369
"F(0, 0)",80,50,Beacon 1,-58,570611660852369
"F(0, 0)",80,50,Beacon 7,-58,570611708767369
"F(0, 0)",80,50,Beacon 2,-87,570611722120369
"F(0, 0)",80,50,Beacon 7,-52,570611810412292
"F(0, 0)",80,50,Beacon 6,-59,570611866368599
"F(0, 0)",80,50,Beacon 1,-58,570611870050215
"F(0, 0)",80,50,Beacon 7,-60,570611908882215
"F(0, 0)",80,50,Beacon 2,-65,570611923645830
"F(0, 0)",80,50,Beacon 8,-38,570611967035061
"F(0, 0)",80,50,Beacon 6,-50,570611969169215
"F(0, 0)",80,50,Beacon 7,-58,570612016726446
"F(0, 0)",80,50,Beacon 6,-60,570612072572061
"F(0, 0)",80,50,Beacon 8,-41,570612075915446
"F(0, 0)",80,50,Beacon 1,-58,570612082633292
"F(0, 0)",80,50,Beacon 7,-59,570612125595984
"F(0, 0)",80,50,Beacon 2,-65,570612137684599
"F(0, 0)",80,50,Beacon 6,-49,570612174293215
"F(0, 0)",80,50,Beacon 8,-38,570612184570446
"F(0, 0)",80,50,Beacon 1,-56,570612190354522
"F(0, 0)",80,50,Beacon 7,-57,570612227946522
"F(0, 0)",80,50,Beacon 2,-79,570612249619446
"F(0, 0)",80,50,Beacon 8,-39,570612291265599
"F(0, 0)",80,50,Beacon 7,-57,570612329214215
"F(0, 0)",80,50,Beacon 2,-65,570612351270215
"F(0, 0)",80,50,Beacon 8,-40,570612398855369
"F(0, 0)",80,50,Beacon 1,-55,570612403454446
"F(0, 0)",80,50,Beacon 7,-56,570612432933522
"F(0, 0)",80,50,Beacon 2,-79,570612455251446
"F(0, 0)",80,50,Beacon 6,-48,570612484949830
"F(0, 0)",80,50,Beacon 8,-40,570612508124292
"F(0, 0)",80,50,Beacon 1,-56,570612510384061
"F(0, 0)",80,50,Beacon 7,-50,570612539346753
"F(0, 0)",80,50,Beacon 6,-63,570612593443138
"F(0, 0)",80,50,Beacon 1,-54,570612613827369
"F(0, 0)",80,50,Beacon 7,-53,570612647203446
"F(0, 0)",80,50,Beacon 2,-78,570612671029292
"F(0, 0)",80,50,Beacon 6,-48,570612697243061
"F(0, 0)",80,50,Beacon 8,-40,570612714761522
"F(0, 0)",80,50,Beacon 1,-56,570612717972984
"F(0, 0)",80,50,Beacon 7,-51,570612748720907
"F(0, 0)",80,50,Beacon 2,-72,570612773836061
"F(0, 0)",80,50,Beacon 6,-43,570612804639446
"F(0, 0)",80,50,Beacon 8,-41,570612814647061
"F(0, 0)",80,50,Beacon 7,-52,570612858874522
"F(0, 0)",80,50,Beacon 6,-47,570612905889907
"F(0, 0)",80,50,Beacon 8,-42,570612924175369
"F(0, 0)",80,50,Beacon 7,-51,570612961164599
"F(0, 0)",80,50,Beacon 2,-71,570612985100369
"F(0, 0)",80,50,Beacon 6,-44,570613007557830
"F(0, 0)",80,50,Beacon 8,-41,570613025917215
"F(0, 0)",80,50,Beacon 7,-53,570613069579138
"F(0, 0)",80,50,Beacon 8,-42,570613130923984
"F(0, 0)",80,50,Beacon 1,-57,570613134679138
"F(0, 0)",80,50,Beacon 7,-53,570613177171369
"F(0, 0)",80,50,Beacon 2,-66,570613193491753
"F(0, 0)",80,50,Beacon 6,-66,570613223410446
"F(0, 0)",80,50,Beacon 1,-58,570613234099446
"F(0, 0)",80,50,Beacon 8,-41,570613237560984
"F(0, 0)",80,50,Beacon 7,-51,570613285235676
"F(0, 0)",80,50,Beacon 2,-76,570613305178753
"F(0, 0)",80,50,Beacon 6,-47,570613335056061
"F(0, 0)",80,50,Beacon 1,-54,570613344668984
"F(0, 0)",80,50,Beacon 8,-44,570613349047061
"F(0, 0)",80,50,Beacon 2,-66,570613408734138
"F(0, 0)",80,50,Beacon 6,-68,570613433824292
"F(0, 0)",80,50,Beacon 1,-58,570613447699061
"F(0, 0)",80,50,Beacon 8,-41,570613455647984
"F(0, 0)",80,50,Beacon 7,-50,570613492769907
"F(0, 0)",80,50,Beacon 2,-75,570613514140907
"F(0, 0)",80,50,Beacon 6,-46,570613540812061
"F(0, 0)",80,50,Beacon 8,-45,570613562876907
"F(0, 0)",80,50,Beacon 7,-51,570613600995753
"F(0, 0)",80,50,Beacon 2,-69,570613616434215
"F(0, 0)",80,50,Beacon 6,-43,570613642682830
"F(0, 0)",80,50,Beacon 1,-60,570613659209907
"F(0, 0)",80,50,Beacon 7,-53,570613699749599
"F(0, 0)",80,50,Beacon 2,-74,570613725093292
"F(0, 0)",80,50,Beacon 6,-46,570613742725599
"F(0, 0)",80,50,Beacon 1,-55,570613765380369
"F(0, 0)",80,50,Beacon 8,-50,570613768414215
"F(0, 0)",80,50,Beacon 7,-48,570613804631446
"F(0, 0)",80,50,Beacon 2,-69,570613834883753
"F(0, 0)",80,50,Beacon 6,-45,570613846641215
