point,x,y,beacon,rssi,rx_time_ns
sofa_0,270,200,Beacon 7,-49,116716884730647
sofa_0,270,200,Beacon 8,-41,116716927158094
sofa_0,270,200,Beacon 2,-55,116716952717990
sofa_0,270,200,Beacon 6,-41,116716966298407
sofa_0,270,200,Beacon 8,-42,116717031430178
sofa_0,270,200,Beacon 2,-55,116717051665542
sofa_0,270,200,Beacon 1,-50,116717065100438
sofa_0,270,200,Beacon 6,-40,116717074454657
sofa_0,270,200,Beacon 1,-50,116717160036792
sofa_0,270,200,Beacon 2,-55,116717160969657
sofa_0,270,200,Beacon 6,-41,116717171167990
sofa_0,270,200,Beacon 7,-48,116717193154501
sofa_0,270,200,Beacon 8,-42,116717240873355
sofa_0,270,200,Beacon 2,-56,116717259489084
sofa_0,270,200,Beacon 1,-50,116717264153719
sofa_0,270,200,Beacon 6,-41,116717268684084
sofa_0,270,200,Beacon 7,-48,116717303054136
sofa_0,270,200,Beacon 8,-41,116717355042053
sofa_0,270,200,Beacon 2,-55,116717366037105
sofa_0,270,200,Beacon 6,-41,116717374465855
sofa_0,270,200,Beacon 7,-48,116717406416323
sofa_0,270,200,Beacon 8,-40,116717455360490
sofa_0,270,200,Beacon 2,-54,116717471411428
sofa_0,270,200,Beacon 6,-41,116717474292365
sofa_0,270,200,Beacon 1,-50,116717483425750
sofa_0,270,200,Beacon 7,-47,116717509214292
sofa_0,270,200,Beacon 8,-40,116717564769396
sofa_0,270,200,Beacon 1,-50,116717590017730
sofa_0,270,200,Beacon 7,-47,116717614554709
sofa_0,270,200,Beacon 8,-40,116717668854761
sofa_0,270,200,Beacon 6,-40,116717680889188
sofa_0,270,200,Beacon 1,-50,116717692242938
sofa_0,270,200,Beacon 7,-46,116717723012782
sofa_0,270,200,Beacon 8,-40,116717774472625
sofa_0,270,200,Beacon 6,-41,116717782501636
sofa_0,270,200,Beacon 2,-54,116717784724344
sofa_0,270,200,Beacon 1,-50,116717796763042
sofa_0,270,200,Beacon 7,-46,116717822154813
sofa_0,270,200,Beacon 8,-40,116717880338615
sofa_0,270,200,Beacon 6,-40,116717886107782
sofa_0,270,200,Beacon 2,-54,116717888420750
sofa_0,270,200,Beacon 1,-50,116717894231896
sofa_0,270,200,Beacon 7,-46,116717924656740
sofa_0,270,200,Beacon 8,-39,116717993563459
sofa_0,270,200,Beacon 2,-54,116717995091011
sofa_0,270,200,Beacon 1,-50,116718001231896
sofa_0,270,200,Beacon 7,-46,116718031301531
sofa_0,270,200,Beacon 8,-39,116718089382052
sofa_0,270,200,Beacon 2,-54,116718096455386
sofa_0,270,200,Beacon 1,-50,116718111810802
sofa_0,270,200,Beacon 7,-47,116718135338615
sofa_0,270,200,Beacon 2,-54,116718199124136
sofa_0,270,200,Beacon 6,-40,116718199993823
sofa_0,270,200,Beacon 1,-50,116718218476948
sofa_0,270,200,Beacon 7,-47,116718244562208
sofa_0,270,200,Beacon 6,-40,116718302758823
sofa_0,270,200,Beacon 8,-39,116718305586531
sofa_0,270,200,Beacon 1,-50,116718328875386
sofa_0,270,200,Beacon 7,-47,116718355521011
sofa_0,270,200,Beacon 1,-50,116718441128510
sofa_0,270,200,Beacon 7,-46,116718455637313
sofa_0,270,200,Beacon 2,-54,116718517854969
sofa_0,270,200,Beacon 6,-40,116718519193250
sofa_0,270,200,Beacon 8,-39,116718522992573
sofa_0,270,200,Beacon 1,-50,116718541944292
sofa_0,270,200,Beacon 7,-46,116718564845490
sofa_0,270,200,Beacon 2,-54,116718616739396
sofa_0,270,200,Beacon 6,-40,116718625183354
sofa_0,270,200,Beacon 8,-38,116718631244344
sofa_0,270,200,Beacon 1,-50,116718643150437
sofa_0,270,200,Beacon 7,-46,116718670561010
sofa_0,270,200,Beacon 2,-53,116718722547417
sofa_0,270,200,Beacon 6,-40,116718733140854
sofa_0,270,200,Beacon 8,-38,116718734318510
sofa_0,270,200,Beacon 1,-50,116718744163979
sofa_0,270,200,Beacon 7,-47,116718769667312
sofa_0,270,200,Beacon 2,-53,116718826384865
sofa_0,270,200,Beacon 6,-40,116718832487208
sofa_0,270,200,Beacon 8,-38,116718836424760
sofa_0,270,200,Beacon 1,-50,116718846958979
sofa_0,270,200,Beacon 7,-46,116718871305073
sofa_0,270,200,Beacon 2,-53,116718933176739
sofa_0,270,200,Beacon 6,-40,116718934125646
sofa_0,270,200,Beacon 8,-37,116718946374135
sofa_0,270,200,Beacon 1,-50,116718951157625
sofa_0,270,200,Beacon 7,-46,116718979124917
sofa_0,270,200,Beacon 2,-53,116719036617000
sofa_0,270,200,Beacon 6,-40,116719044816114
sofa_0,270,200,Beacon 8,-37,116719049575437
sofa_0,270,200,Beacon 7,-45,116719081471791
sofa_0,270,200,Beacon 2,-53,116719144218927
sofa_0,270,200,Beacon 6,-41,116719148085489
sofa_0,270,200,Beacon 8,-37,116719157127677
sofa_0,270,200,Beacon 1,-50,116719162495489
sofa_0,270,200,Beacon 7,-47,116719186430854
sofa_0,270,200,Beacon 2,-54,116719249106219
sofa_0,270,200,Beacon 6,-42,116719250329135
sofa_0,270,200,Beacon 1,-50,116719265400802
sofa_0,270,200,Beacon 8,-37,116719266437521
sofa_0,270,200,Beacon 7,-46,116719286853875
sofa_0,270,200,Beacon 2,-53,116719355018823
sofa_0,270,200,Beacon 1,-50,116719369860646
sofa_0,270,200,Beacon 8,-37,116719371303198
sofa_0,270,200,Beacon 7,-47,116719395367156
sofa_0,270,200,Beacon 2,-54,116719454187781
sofa_0,270,200,Beacon 6,-42,116719466079656
sofa_0,270,200,Beacon 1,-50,116719471165333
sofa_0,270,200,Beacon 8,-36,116719479640958
sofa_0,270,200,Beacon 7,-47,116719503271375
sofa_0,270,200,Beacon 2,-54,116719556375177
sofa_0,270,200,Beacon 6,-40,116719568901479
sofa_0,270,200,Beacon 1,-51,116719572261218
sofa_0,270,200,Beacon 8,-35,116719582691114
sofa_0,270,200,Beacon 7,-45,116719603928354
sofa_0,270,200,Beacon 7,-45,116719707902781
sofa_0,270,200,Beacon 2,-53,116719767857208
sofa_0,270,200,Beacon 6,-42,116719778466114
sofa_0,270,200,Beacon 8,-36,116719793400802
sofa_0,270,200,Beacon 7,-47,116719813623770
sofa_0,270,200,Beacon 2,-53,116719873826375
sofa_0,270,200,Beacon 6,-42,116719885747520
sofa_0,270,200,Beacon 1,-50,116719888151739
sofa_0,270,200,Beacon 8,-36,116719890581270
sofa_0,270,200,Beacon 7,-48,116719923121270
sofa_0,270,200,Beacon 2,-53,116719982195958
sofa_0,270,200,Beacon 6,-41,116719994429499
sofa_0,270,200,Beacon 1,-51,116719995879760
sofa_0,270,200,Beacon 7,-46,116720024518406
sofa_0,270,200,Beacon 2,-53,116720082261635
sofa_0,270,200,Beacon 6,-42,116720095609708
sofa_0,270,200,Beacon 1,-51,116720097611010
sofa_0,270,200,Beacon 8,-36,116720100330697
sofa_0,270,200,Beacon 7,-50,116720129916270
sofa_0,270,200,Beacon 2,-53,116720185313145
sofa_0,270,200,Beacon 1,-51,116720201167676
sofa_0,270,200,Beacon 7,-46,116720236912416
sofa_0,270,200,Beacon 2,-53,116720293943718
sofa_0,270,200,Beacon 6,-42,116720304182989
sofa_0,270,200,Beacon 1,-51,116720308053301
sofa_0,270,200,Beacon 8,-36,116720317735229
sofa_0,270,200,Beacon 7,-46,116720344205645
sofa_0,270,200,Beacon 2,-53,116720397054083
sofa_0,270,200,Beacon 1,-51,116720410033406
sofa_0,270,200,Beacon 8,-36,116720419241478
sofa_0,270,200,Beacon 7,-48,116720443522937
sofa_0,270,200,Beacon 2,-54,116720495806947
sofa_0,270,200,Beacon 6,-42,116720513054812
sofa_0,270,200,Beacon 1,-51,116720519878510
sofa_0,270,200,Beacon 8,-37,116720528359239
sofa_0,270,200,Beacon 7,-51,116720546978770
sofa_0,270,200,Beacon 2,-54,116720599097781
sofa_0,270,200,Beacon 6,-43,116720618819083
sofa_0,270,200,Beacon 8,-38,116720627844760
sofa_0,270,200,Beacon 1,-51,116720629885541
sofa_0,270,200,Beacon 7,-48,116720653551322
sofa_0,270,200,Beacon 2,-54,116720705195124
sofa_0,270,200,Beacon 6,-42,116720724747833
sofa_0,270,200,Beacon 8,-38,116720730493405
sofa_0,270,200,Beacon 1,-51,116720733468874
sofa_0,270,200,Beacon 7,-49,116720752797572
sofa_0,270,200,Beacon 2,-54,116720806005333
sofa_0,270,200,Beacon 6,-42,116720823840905
sofa_0,270,200,Beacon 1,-51,116720834476791
sofa_0,270,200,Beacon 8,-39,116720838761635
sofa_0,270,200,Beacon 7,-48,116720863145749
sofa_0,270,200,Beacon 2,-54,116720910204707
sofa_0,270,200,Beacon 2,-59,116721013785593
sofa_0,270,200,Beacon 6,-48,116721040692364
sofa_0,270,200,Beacon 1,-50,116721041890332
sofa_0,270,200,Beacon 8,-46,116721051390384
sofa_0,270,200,Beacon 7,-42,116721081418353
sofa_0,270,200,Beacon 2,-58,116721117672520
sofa_0,270,200,Beacon 6,-48,116721142995280
sofa_0,270,200,Beacon 1,-49,116721148463093
sofa_0,270,200,Beacon 8,-48,116721153665749
sofa_0,270,200,Beacon 7,-42,116721188911218
sofa_0,270,200,Beacon 2,-58,116721219678562
sofa_0,270,200,Beacon 6,-48,116721243801009
sofa_0,270,200,Beacon 1,-49,116721260630853
sofa_0,270,200,Beacon 8,-51,116721261832155
sofa_0,270,200,Beacon 7,-42,116721293404239
sofa_0,270,200,Beacon 2,-58,116721319942051
sofa_0,270,200,Beacon 6,-48,116721350282416
sofa_0,270,200,Beacon 8,-52,116721366095489
sofa_0,270,200,Beacon 7,-41,116721395870957
sofa_0,270,200,Beacon 2,-58,116721424630280
sofa_0,270,200,Beacon 6,-47,116721456673770
sofa_0,270,200,Beacon 8,-51,116721474364864
sofa_0,270,200,Beacon 1,-49,116721475887468
sofa_0,270,200,Beacon 7,-41,116721497676009
sofa_0,270,200,Beacon 2,-58,116721534247936
sofa_0,270,200,Beacon 6,-47,116721567649499
sofa_0,270,200,Beacon 8,-52,116721574852884
sofa_0,270,200,Beacon 1,-49,116721577027311
sofa_0,270,200,Beacon 7,-41,116721603290801
sofa_0,270,200,Beacon 2,-58,116721635667884
sofa_0,270,200,Beacon 6,-49,116721669387416
sofa_0,270,200,Beacon 8,-57,116721684270072
sofa_0,270,200,Beacon 1,-49,116721685402572
sofa_0,270,200,Beacon 7,-41,116721708573353
sofa_0,270,200,Beacon 2,-57,116721738273457
sofa_0,270,200,Beacon 6,-50,116721776201790
sofa_0,270,200,Beacon 8,-65,116721796725801
sofa_0,270,200,Beacon 7,-41,116721811877103
sofa_0,270,200,Beacon 2,-57,116721841802468
sofa_0,270,200,Beacon 6,-51,116721879526530
sofa_0,270,200,Beacon 1,-48,116721897144811
sofa_0,270,200,Beacon 8,-66,116721898027103
sofa_0,270,200,Beacon 7,-41,116721919436686
sofa_0,270,200,Beacon 2,-57,116721948995853
sofa_0,270,200,Beacon 6,-51,116721992295384
sofa_0,270,200,Beacon 1,-48,116721997056530
sofa_0,270,200,Beacon 8,-58,116721999738509
sofa_0,270,200,Beacon 7,-40,116722028396270
sofa_0,270,200,Beacon 2,-56,116722053915645
sofa_0,270,200,Beacon 6,-51,116722093818249
sofa_0,270,200,Beacon 1,-48,116722104421582
sofa_0,270,200,Beacon 7,-41,116722138148822
sofa_0,270,200,Beacon 2,-56,116722157999342
sofa_0,270,200,Beacon 6,-51,116722199613301
sofa_0,270,200,Beacon 2,-56,116722264273040
sofa_0,270,200,Beacon 6,-50,116722302362207
sofa_0,270,200,Beacon 1,-48,116722313615905
sofa_0,270,200,Beacon 8,-53,116722316444759
sofa_0,270,200,Beacon 7,-40,116722343129186
sofa_0,270,200,Beacon 2,-57,116722370386374
sofa_0,270,200,Beacon 6,-49,116722414236582
sofa_0,270,200,Beacon 1,-48,116722416182936
sofa_0,270,200,Beacon 8,-54,116722424627780
sofa_0,270,200,Beacon 7,-40,116722443384394
sofa_0,270,200,Beacon 2,-57,116722479513196
sofa_0,270,200,Beacon 1,-48,116722524708769
sofa_0,270,200,Beacon 6,-47,116722525894394
sofa_0,270,200,Beacon 8,-57,116722528109082
sofa_0,270,200,Beacon 7,-40,116722553114811
sofa_0,270,200,Beacon 2,-58,116722582849863
sofa_0,270,200,Beacon 6,-46,116722627812051
sofa_0,270,200,Beacon 1,-48,116722629096009
sofa_0,270,200,Beacon 8,-60,116722635446426
sofa_0,270,200,Beacon 7,-40,116722660509655
sofa_0,270,200,Beacon 2,-58,116722681648926
sofa_1,270,330,Beacon 7,-49,116732093154287
sofa_1,270,330,Beacon 6,-54,116732100345849
sofa_1,270,330,Beacon 2,-58,116732137044234
sofa_1,270,330,Beacon 1,-58,116732182034703
sofa_1,270,330,Beacon 8,-42,116732192917776
sofa_1,270,330,Beacon 7,-50,116732199282776
sofa_1,270,330,Beacon 6,-56,116732203444078
sofa_1,270,330,Beacon 2,-59,116732233290589
sofa_1,270,330,Beacon 1,-58,116732278158349
